Rank,Title,Link,Author,Aborn,Adeath,Translator,Tborn,Tdeath,Subject,Language
815,The Taming of the Shrew,https://www.gutenberg.org//ebooks/1508,"Shakespeare, William",1564,1616,,,,"['Comedies', 'Man-woman relationships -- Drama', 'Married people -- Drama', 'Sex role -- Drama', 'Padua (Italy) -- Drama']",English
2,呻吟語 (Chinese),https://www.gutenberg.org//ebooks/25558,"Lü, Kun",1536,1618,,,,['Conduct of life'],Chinese
612,Daemonologie.,https://www.gutenberg.org//ebooks/25929,"James I, King of England",1566,1625,,,,"['Magic', 'Witchcraft -- Scotland', 'Demonology', 'Fian, John, -1591']",English
199,The Duchess of Malfi,https://www.gutenberg.org//ebooks/2232,"Webster, John",1580,1625,,,,"['Tragedies', 'English drama -- 17th century', 'Siblings -- Drama', 'Retribution -- Drama']",English
266,"Bacon's Essays, and Wisdom of the Ancients",https://www.gutenberg.org//ebooks/56463,"Bacon, Francis",1561,1626,,,,"['English essays -- Early modern, 1500-1700', 'Mythology, Classical', 'Bacon, Francis, 1561-1626']",English
832,New Atlantis,https://www.gutenberg.org//ebooks/2434,"Bacon, Francis",1561,1626,,,,['Utopias -- Early works to 1800'],English
976,The Advancement of Learning,https://www.gutenberg.org//ebooks/5500,"Bacon, Francis",1561,1626,,,,"['Logic -- Early works to 1800', 'Knowledge, Theory of -- Early works to 1800', 'Learning -- Philosophy -- Early works to 1800', 'Science -- Methodology -- Early works to 1800']",English
53,The Devil is an Ass,https://www.gutenberg.org//ebooks/50150,"Jonson, Ben",1573,1637,,,,"['Comedies', 'English drama -- 17th century']",English
368,The Alchemist,https://www.gutenberg.org//ebooks/4081,"Jonson, Ben",1573,1637,,,,"['English drama (Comedy)', 'English drama -- 17th century', 'London (England) -- Drama', 'City and town life -- Drama', 'Alchemists -- Drama']",English
455,"Volpone; Or, The Fox",https://www.gutenberg.org//ebooks/4039,"Jonson, Ben",1573,1637,,,,"['English drama (Comedy)', 'Satire, English', 'Inheritance and succession -- Drama', 'English drama -- 17th century', 'Venice (Italy) -- Drama', 'Extortion -- Drama']",English
464,Every Man in His Humor,https://www.gutenberg.org//ebooks/5333,"Jonson, Ben",1573,1637,,,,"['English drama (Comedy)', 'London (England) -- Drama']",English
463,The Anatomy of Melancholy,https://www.gutenberg.org//ebooks/10800,"Burton, Robert",1577,1640,,,,['Melancholy -- Early works to 1800'],English
127,二刻拍案惊奇 (Chinese),https://www.gutenberg.org//ebooks/24162,"Ling, Mengchu",1580,1644,,,,"['Chinese fiction -- Ming dynasty, 1368-1644']",Chinese
359,Discours de la méthode (French),https://www.gutenberg.org//ebooks/13846,"Descartes, René",1596,1650,,,,"['Science -- Methodology', 'Methodology']",French
432,"The Complete Herbal",https://www.gutenberg.org//ebooks/49513,"Culpeper, Nicholas",1616,1654,,,,"['Botany, Medical', 'Materia medica, Vegetable', 'Medicinal plants -- England', 'Botany, Medical -- England', 'Herbs -- Therapeutic use', 'Medicinal plants']",English
884,Bradford's History of 'Plimoth Plantation',https://www.gutenberg.org//ebooks/24950,"Bradford, William",1590,1657,,,,"['Massachusetts -- History -- Colonial period, ca. 1600-1775']",English
147,Pascal's Pensées,https://www.gutenberg.org//ebooks/18269,"Pascal, Blaise",1623,1662,,,,"['Apologetics', 'Philosophy']",English
661,"Tartuffe; Or, The Hypocrite",https://www.gutenberg.org//ebooks/28488,Molière,1622,1673,"Hoeper, Jeffrey D.",,,"['Comedies', 'French drama -- 17th century -- Translations into English']",English
774,The Middle-Class Gentleman,https://www.gutenberg.org//ebooks/2992,Molière,1622,1673,"Jones, Philip Dwight",,,"['Comedies', 'French drama', 'Middle class -- France -- Drama', 'France -- Social life and customs -- 17th century -- Drama']",English
788,The Imaginary Invalid,https://www.gutenberg.org//ebooks/9070,Molière,1622,1673,"Wall, Charles Heron",,,"['Comedies', 'Hypochondria -- Drama', 'Molière, 1622-1673 -- Translations into English']",English
138,Paradise Lost,https://www.gutenberg.org//ebooks/26,"Milton, John",1608,1674,,,,"['Fall of man -- Poetry', 'Adam (Biblical figure) -- Poetry', 'Eve (Biblical figure) -- Poetry', 'Bible. Genesis -- History of Biblical events -- Poetry']",English
450,Paradise Lost,https://www.gutenberg.org//ebooks/20,"Milton, John",1608,1674,,,,"['Fall of man -- Poetry', 'Adam (Biblical figure) -- Poetry', 'Eve (Biblical figure) -- Poetry', 'Bible. Genesis -- History of Biblical events -- Poetry']",English
715,"Areopagitica",https://www.gutenberg.org//ebooks/608,"Milton, John",1608,1674,,,,['Freedom of the press -- Early works to 1800'],English
37,Leviathan,https://www.gutenberg.org//ebooks/3207,"Hobbes, Thomas",1588,1679,,,,"['Political science -- Early works to 1800', 'State, The -- Early works to 1800']",English
536,肉蒲團 (Chinese),https://www.gutenberg.org//ebooks/52205,"Li, Yu",1611,1680,,,,"['Erotic literature, Chinese', 'Chinese fiction', 'Erotic stories, Chinese']",Chinese
477,"The Pilgrim's Progress from this world to that which is to come",https://www.gutenberg.org//ebooks/131,"Bunyan, John",1628,1688,,,,"['Christian fiction', 'Christian pilgrims and pilgrimages -- Fiction']",English
507,The Pilgrim's Progress by John Bunyan Every Child Can Read,https://www.gutenberg.org//ebooks/39452,"Bunyan, John",1628,1688,,,,"['Christian life -- Juvenile literature', 'Christian pilgrims and pilgrimages -- Juvenile literature']",English
806,The Practice of the Presence of God,https://www.gutenberg.org//ebooks/5657,"Lawrence, of the Resurrection, Brother",1611,1691,,,,"['Christian life -- Catholic authors', 'Spiritual life -- Catholic Church']",English
891,Fables de La Fontaine (French),https://www.gutenberg.org//ebooks/56327,"La Fontaine, Jean de",1621,1695,,,,"[""Aesop's fables -- Adaptations"", 'Fables, Greek -- Adaptations', 'Fables, French']",French
56,Second Treatise of Government,https://www.gutenberg.org//ebooks/7370,"Locke, John",1632,1704,,,,"['Political science -- Early works to 1800', 'Toleration -- Early works to 1800', 'Liberty -- Early works to 1800']",English
95,"An Essay Concerning Humane Understanding, Volume 1",https://www.gutenberg.org//ebooks/10615,"Locke, John",1632,1704,,,,"['Knowledge, Theory of -- Early works to 1800']",English
220,Narrative of the Captivity and Restoration of Mrs. Mary Rowlandson,https://www.gutenberg.org//ebooks/851,"Rowlandson, Mary White",1635,1711,,,,"['Rowlandson, Mary White, approximately 1635-1711', ""King Philip's War, 1675-1676"", 'Lancaster (Mass.) -- History -- Colonial period, ca. 1600-1775', 'Massachusetts -- Biography', 'Indian captivities -- Massachusetts']",English
843,"The Wonders of the Invisible World",https://www.gutenberg.org//ebooks/28513,"Mather, Increase",1639,1723,,,,['Witchcraft -- New England -- Early works to 1800'],English
600,Philosophiae Naturalis Principia Mathematica (Latin),https://www.gutenberg.org//ebooks/28233,"Newton, Isaac",1642,1727,,,,"['Mechanics -- Early works to 1800', 'Celestial mechanics -- Early works to 1800']",Latin
392,The Way of the World,https://www.gutenberg.org//ebooks/1292,"Congreve, William",1670,1729,,,,['English drama (Comedy)'],English
704,"The Spectator, Volume 1",https://www.gutenberg.org//ebooks/9334,"Steele, Richard, Sir",1672,1729,,,,['English essays -- 18th century -- Periodicals'],English
124,The Life and Adventures of Robinson Crusoe,https://www.gutenberg.org//ebooks/521,"Defoe, Daniel",1661,1731,,,,"['Shipwreck survival -- Fiction', 'Islands -- Fiction', 'Crusoe, Robinson (Fictitious character) -- Fiction', 'Atlantic Ocean -- Fiction', 'Adventure stories', 'Castaways -- Fiction']",English
353,"A Journal of the Plague Year",https://www.gutenberg.org//ebooks/376,"Defoe, Daniel",1661,1731,,,,"['Historical fiction', 'Great Fire, London, England, 1666 -- Fiction', 'Plague -- Fiction', 'London (England) -- History -- 17th century -- Fiction']",English
462,"A General History of the Pyrates:",https://www.gutenberg.org//ebooks/40580,"Defoe, Daniel",1661,1731,,,,['Pirates -- Early works to 1800'],English
457,The Beggar's Opera; to Which is Prefixed the Musick to Each Song,https://www.gutenberg.org//ebooks/25063,"Gay, John",1685,1732,,,,['Ballad operas -- Librettos'],English
305,"The Rape of the Lock, and Other Poems",https://www.gutenberg.org//ebooks/9800,"Pope, Alexander",1688,1744,,,,"['English poetry -- 18th century', 'Young women -- Poetry', 'Catholics -- England -- Poetry']",English
644,An Essay on Man; Moral Essays and Satires,https://www.gutenberg.org//ebooks/2428,"Pope, Alexander",1688,1744,,,,['English poetry -- 18th century'],English
31,"A Modest Proposal",https://www.gutenberg.org//ebooks/1080,"Swift, Jonathan",1667,1745,,,,"['Political satire, English', 'Religious satire, English', 'Ireland -- Politics and government -- 18th century -- Humor']",English
110,Gulliver's Travels into Several Remote Nations of the World,https://www.gutenberg.org//ebooks/829,"Swift, Jonathan",1667,1745,,,,"['Fantasy fiction', 'Satire', 'Travelers -- Fiction', 'Gulliver, Lemuel (Fictitious character) -- Fiction', 'Voyages, Imaginary -- Early works to 1800']",English
430,Gulliver's Travels into Several Remote Regions of the World,https://www.gutenberg.org//ebooks/17157,"Swift, Jonathan",1667,1745,,,,"['Fantasy fiction', 'Satire', 'Travelers -- Fiction', 'Gulliver, Lemuel (Fictitious character) -- Fiction', 'Voyages, Imaginary -- Early works to 1800']",English
938,"The Battle of the Books, and other Short Pieces",https://www.gutenberg.org//ebooks/623,"Swift, Jonathan",1667,1745,,,,"['English essays', 'Satire, English', 'Ancients and moderns, Quarrel of']",English
18,"History of Tom Jones, a Foundling",https://www.gutenberg.org//ebooks/6593,"Fielding, Henry",1707,1754,,,,"['Humorous stories', 'England -- Fiction', 'Bildungsromans', 'Young men -- Fiction', 'Foundlings -- Fiction', 'Identity (Psychology) -- Fiction']",English
460,"Pamela, or Virtue Rewarded",https://www.gutenberg.org//ebooks/6124,"Richardson, Samuel",1689,1761,,,,"['Didactic fiction', 'England -- Fiction', 'Epistolary fiction', 'Master and servant -- Fiction', 'Kidnapping victims -- Fiction', 'Virtue -- Fiction', 'Women household employees -- Fiction']",English
308,"The Life and Opinions of Tristram Shandy, Gentleman",https://www.gutenberg.org//ebooks/1079,"Sterne, Laurence",1713,1768,,,,"['Stream of consciousness fiction', 'Experimental fiction', 'Fiction -- Authorship -- Fiction', 'Infants -- Fiction', 'Fetus -- Fiction']",English
15,The Adventures of Ferdinand Count Fathom — Complete,https://www.gutenberg.org//ebooks/6761,"Smollett, T. (Tobias)",1721,1771,,,,"['Gothic fiction', 'Adventure stories']",English
17,The Expedition of Humphry Clinker,https://www.gutenberg.org//ebooks/2160,"Smollett, T. (Tobias)",1721,1771,,,,"['Epistolary fiction', 'Travelers -- Fiction', 'Great Britain -- Fiction']",English
20,The Adventures of Roderick Random,https://www.gutenberg.org//ebooks/4085,"Smollett, T. (Tobias)",1721,1771,,,,"['Sea stories', 'England -- Fiction', 'Picaresque literature', 'Rogues and vagabonds -- Fiction', 'Sailors -- Fiction', 'Warships -- Fiction', 'Scots -- England -- Fiction', 'Impressment -- Fiction']",English
772,"Letters to His Son, Complete",https://www.gutenberg.org//ebooks/3361,"Chesterfield, Philip Dormer Stanhope, Earl of",1694,1773,,,,['Conduct of life'],English
324,"She Stoops to Conquer; Or, The Mistakes of a Night: A Comedy",https://www.gutenberg.org//ebooks/383,"Goldsmith, Oliver",1730,1774,,,,['Comedies'],English
166,An Enquiry Concerning Human Understanding,https://www.gutenberg.org//ebooks/9662,"Hume, David",1711,1776,,,,"['Ethics', 'Knowledge, Theory of']",English
361,A Treatise of Human Nature,https://www.gutenberg.org//ebooks/4705,"Hume, David",1711,1776,,,,"['Knowledge, Theory of']",English
602,Dialogues Concerning Natural Religion,https://www.gutenberg.org//ebooks/4583,"Hume, David",1711,1776,,,,"['Natural theology -- Early works to 1800', 'Religion -- Early works to 1800']",English
656,An Enquiry Concerning the Principles of Morals,https://www.gutenberg.org//ebooks/4320,"Hume, David",1711,1776,,,,"['Ethics', 'Conduct of life']",English
82,Candide,https://www.gutenberg.org//ebooks/19942,Voltaire,1694,1778,,,,"['Satire', 'Optimism -- Fiction']",English
470,"Candide, ou l'optimisme (French)",https://www.gutenberg.org//ebooks/4650,Voltaire,1694,1778,,,,"['Satire', 'Optimism -- Fiction']",French
926,Letters on England,https://www.gutenberg.org//ebooks/2445,Voltaire,1694,1778,,,,"['English literature -- 18th century -- History and criticism', 'Great Britain -- Civilization -- 18th century', 'Great Britain -- Religion', 'Imaginary letters', 'Great Britain -- Intellectual life -- 18th century', 'Philosophy, Modern -- 18th century']",English
420,The Confessions of Jean Jacques Rousseau — Complete,https://www.gutenberg.org//ebooks/3913,"Rousseau, Jean-Jacques",1712,1778,,,,"['Rousseau, Jean-Jacques, 1712-1778', 'Authors, French -- 18th century -- Biography']",English
535,Emile,https://www.gutenberg.org//ebooks/5427,"Rousseau, Jean-Jacques",1712,1778,,,,['Education -- Early works to 1800'],English
738,A Discourse Upon the Origin and the Foundation of the Inequality Among Mankind,https://www.gutenberg.org//ebooks/11136,"Rousseau, Jean-Jacques",1712,1778,,,,"['Political science', 'Natural law', 'Equality']",English
827,"Rasselas, Prince of Abyssinia",https://www.gutenberg.org//ebooks/652,"Johnson, Samuel",1709,1784,,,,"['Satire', 'Princes -- Fiction', 'Happiness -- Fiction', 'Ethiopia -- Fiction']",English
669,"Poems on various subjects, religious and moral",https://www.gutenberg.org//ebooks/409,"Wheatley, Phillis",1753,1784,,,,"['American poetry -- African American authors', 'American poetry']",English
145,"Memoirs of Fanny Hill",https://www.gutenberg.org//ebooks/25305,"Cleland, John",1709,1789,,,,"['England -- Fiction', 'Prostitutes -- Fiction', 'Erotic stories']",English
118,Autobiography of Benjamin Franklin,https://www.gutenberg.org//ebooks/20203,"Franklin, Benjamin",1706,1790,,,,"['Franklin, Benjamin, 1706-1790', 'Statesmen -- United States -- Biography']",English
893,The Autobiography of Benjamin Franklin,https://www.gutenberg.org//ebooks/148,"Franklin, Benjamin",1706,1790,,,,"['Franklin, Benjamin, 1706-1790', 'Statesmen -- United States -- Biography']",English
134,An Inquiry into the Nature and Causes of the Wealth of Nations,https://www.gutenberg.org//ebooks/3300,"Smith, Adam",1723,1790,,,,['Economics'],English
563,1811 Dictionary of the Vulgar Tongue,https://www.gutenberg.org//ebooks/5402,"Grose, Francis",1731,1791,,,,['English language -- Slang -- Dictionaries'],English
264,"The History of the Decline and Fall of the Roman Empire",https://www.gutenberg.org//ebooks/25717,"Gibbon, Edward",1737,1794,,,,"['Rome -- History -- Empire, 30 B.C.-476 A.D.', 'Byzantine Empire -- History -- To 527', 'Indexes']",English
767,"Boswell's Life of Johnson",https://www.gutenberg.org//ebooks/1564,"Boswell, James",1740,1795,,,,"['Johnson, Samuel, 1709-1784', 'Authors, English -- 18th century -- Biography', 'Lexicographers -- Great Britain -- Biography', 'Critics -- Great Britain -- Biography']",English
640,Poems and Songs of Robert Burns,https://www.gutenberg.org//ebooks/1279,"Burns, Robert",1759,1796,,,,"['Songs, Scots -- Scotland -- Texts', 'Scotland -- Poetry']",English
193,The Castle of Otranto,https://www.gutenberg.org//ebooks/696,"Walpole, Horace",1717,1797,,,,"['Horror tales', 'Inheritance and succession -- Fiction', 'Gothic fiction']",English
825,"The Works of the Right Honourable Edmund Burke, Vol. 01 (of 12)",https://www.gutenberg.org//ebooks/15043,"Burke, Edmund",1729,1797,,,,"['Great Britain -- Politics and government -- 1760-1820', 'Political science -- Early works to 1800']",English
901,"The Works of the Right Honourable Edmund Burke, Vol. 03 (of 12)",https://www.gutenberg.org//ebooks/15679,"Burke, Edmund",1729,1797,,,,"['Great Britain -- Politics and government -- 1760-1820', 'Political science -- Early works to 1800']",English
67,"The Interesting Narrative of the Life of Olaudah Equiano, Or Gustavus Vassa, The African",https://www.gutenberg.org//ebooks/15399,"Equiano, Olaudah",1745,1797,,,,"['Enslaved persons -- United States -- Biography', 'Equiano, Olaudah, 1745-1797', 'Enslaved persons -- Great Britain -- Biography']",English
329,"A Vindication of the Rights of Woman",https://www.gutenberg.org//ebooks/3420,"Wollstonecraft, Mary",1759,1797,,,,"['Feminism', ""Women's rights -- Great Britain"", 'Women -- Education -- Great Britain', 'Women -- History -- 19th century']",English
839,隨園詩話 (Chinese),https://www.gutenberg.org//ebooks/52206,"Yuan, Mei",1716,1798,,,,['Chinese poetry -- History and criticism'],Chinese
474,"Les liaisons dangereuses (French)",https://www.gutenberg.org//ebooks/52006,"Laclos, Choderlos de",1741,1803,,,,"['Epistolary fiction', 'France -- Fiction', 'Man-woman relationships -- Fiction', 'Aristocracy (Social class) -- Fiction', 'Seduction -- Fiction', 'Mock-heroic literature']",French
213,Perpetual Peace: A Philosophical Essay,https://www.gutenberg.org//ebooks/50922,"Kant, Immanuel",1724,1804,"Smith, Mary Campbell",,,['Peace'],English
813,Kant's Prolegomena to Any Future Metaphysics,https://www.gutenberg.org//ebooks/52821,"Kant, Immanuel",1724,1804,,,,"['Knowledge, Theory of -- Early works to 1800', 'Metaphysics -- Early works to 1800']",English
930,"Proofs of a Conspiracy against all the Religions and Governments of Europe",https://www.gutenberg.org//ebooks/47605,"Robison, John",1739,1805,,,,"['Freemasonry -- Early works to 1800', 'Illuminati -- Early works to 1800']",English
949,Heath's French and English dictionary,https://www.gutenberg.org//ebooks/74672,"Lolme, Jean Louis de",1740,1806,,,,"['English language -- Dictionaries -- French', 'French language -- Dictionaries -- English']",English
128,A Pickle for the Knowing Ones,https://www.gutenberg.org//ebooks/43453,"Dexter, Timothy",1747,1806,,,,"['Dexter, Timothy, 1747-1806', 'Newburyport (Mass.) -- Biography']",English
205,Common Sense,https://www.gutenberg.org//ebooks/147,"Paine, Thomas",1737,1809,,,,"['United States -- Politics and government -- 1775-1783', 'Political science -- Early works to 1800', 'Monarchy -- Early works to 1800']",English
972,Духовные оды (Russian),https://www.gutenberg.org//ebooks/14741,"Derzhavin, Gavriil Romanovich",1743,1816,,,,['Poetry'],Russian
543,The School for Scandal,https://www.gutenberg.org//ebooks/1929,"Sheridan, Richard Brinsley",1751,1816,,,,"['Comedies', 'English drama -- 18th century', 'England -- Social life and customs -- 18th century -- Drama', 'Nobility -- England -- History -- 18th century -- Drama']",English
5,Pride and Prejudice,https://www.gutenberg.org//ebooks/1342,"Austen, Jane",1775,1817,,,,"['England -- Fiction', 'Young women -- Fiction', 'Love stories', 'Sisters -- Fiction', 'Domestic fiction', 'Courtship -- Fiction', 'Social classes -- Fiction']",English
94,Emma,https://www.gutenberg.org//ebooks/158,"Austen, Jane",1775,1817,,,,"['Humorous stories', 'England -- Fiction', 'Young women -- Fiction', 'Love stories', 'Fathers and daughters -- Fiction', 'Bildungsromans', 'Mate selection -- Fiction', 'Female friendship -- Fiction']",English
115,Sense and Sensibility,https://www.gutenberg.org//ebooks/161,"Austen, Jane",1775,1817,,,,"['England -- Social life and customs -- 19th century -- Fiction', 'Inheritance and succession -- Fiction', 'England -- Fiction', 'Young women -- Fiction', 'Love stories', 'Sisters -- Fiction', 'Domestic fiction', 'Mate selection -- Fiction', 'Social classes -- Fiction', 'Gentry -- England -- Fiction', 'Regency fiction']",English
130,Persuasion,https://www.gutenberg.org//ebooks/105,"Austen, Jane",1775,1817,,,,"['England -- Social life and customs -- 19th century -- Fiction', 'Psychological fiction', 'Young women -- Fiction', 'Motherless families -- Fiction', 'Rejection (Psychology) -- Fiction', 'First loves -- Fiction', 'Dysfunctional families -- Fiction', 'Ship captains -- Fiction', 'Love stories', 'Regency fiction']",English
161,Northanger Abbey,https://www.gutenberg.org//ebooks/121,"Austen, Jane",1775,1817,,,,"['England -- Social life and customs -- 19th century -- Fiction', 'Satire', 'England -- Fiction', 'Young women -- Fiction', 'Love stories', 'Gothic fiction', 'Horror tales -- Appreciation -- Fiction', 'Books and reading -- Fiction', 'Gentry -- England -- Fiction', 'Marriage -- Economic aspects -- Fiction']",English
253,Mansfield Park,https://www.gutenberg.org//ebooks/141,"Austen, Jane",1775,1817,,,,"['England -- Fiction', 'Young women -- Fiction', 'Love stories', 'Domestic fiction', 'Country homes -- Fiction', 'Adoptees -- Fiction', 'Children of the rich -- Fiction', 'Cousins -- Fiction', 'Uncles -- Fiction']",English
476,Pride and Prejudice,https://www.gutenberg.org//ebooks/42671,"Austen, Jane",1775,1817,,,,"['England -- Fiction', 'Young women -- Fiction', 'Love stories', 'Sisters -- Fiction', 'Domestic fiction', 'Courtship -- Fiction', 'Social classes -- Fiction']",English
842,Pride and Prejudice,https://www.gutenberg.org//ebooks/26301,"Austen, Jane",1775,1817,,,,"['England -- Fiction', 'Young women -- Fiction', 'Love stories', 'Sisters -- Fiction', 'Domestic fiction', 'Courtship -- Fiction', 'Social classes -- Fiction']",English
911,"The Letters of Jane Austen",https://www.gutenberg.org//ebooks/42078,"Austen, Jane",1775,1817,,,,"['Novelists, English -- 19th century -- Correspondence', 'Austen, Jane, 1775-1817 -- Correspondence', 'Austen, Cassandra, 1773-1845']",English
990,Emma,https://www.gutenberg.org//ebooks/19839,"Austen, Jane",1775,1817,,,,"['Humorous stories', 'England -- Fiction', 'Young women -- Fiction', 'Love stories', 'Fathers and daughters -- Fiction', 'Bildungsromans', 'Mate selection -- Fiction', 'Female friendship -- Fiction']",English
936,An Inquiry Into the Nature and Causes of the Wealth of Nations,https://www.gutenberg.org//ebooks/38194,"Garnier, M. (Germain)",1754,1821,,,,['Economics'],English
919,"Napoleon's Letters to Josephine, 1796-1812",https://www.gutenberg.org//ebooks/37499,"Napoleon I, Emperor of the French",1769,1821,,,,"['Napoleon I, Emperor of the French, 1769-1821 -- Correspondence', 'Josephine, Empress, consort of Napoleon I, Emperor of the French, 1763-1814 -- Correspondence']",English
174,The Vampyre; a Tale,https://www.gutenberg.org//ebooks/6087,"Polidori, John William",1795,1821,,,,"['Horror tales', 'Gothic fiction', 'Vampires -- Fiction']",English
424,Lamia,https://www.gutenberg.org//ebooks/2490,"Keats, John",1795,1821,,,,['English poetry -- 19th century'],English
580,The Mysteries of Udolpho,https://www.gutenberg.org//ebooks/3268,"Radcliffe, Ann Ward",1764,1823,,,,"['Orphans -- Fiction', 'Horror tales', 'Inheritance and succession -- Fiction', 'Young women -- Fiction', 'Gothic fiction', 'Guardian and ward -- Fiction', 'Castles -- Fiction', 'Italy -- Fiction']",English
155,Childe Harold's Pilgrimage,https://www.gutenberg.org//ebooks/5131,"Byron, George Gordon Byron, Baron",1788,1824,,,,"['English poetry', 'Voyages and travels -- Poetry', 'Pilgrims and pilgrimages -- Europe -- Poetry']",English
176,Don Juan,https://www.gutenberg.org//ebooks/21700,"Byron, George Gordon Byron, Baron",1788,1824,,,,"['Juan, Don (Legendary character) -- Poetry']",English
435,The Declaration of Independence of the United States of America,https://www.gutenberg.org//ebooks/1,"Jefferson, Thomas",1743,1826,,,,"['United States -- History -- Revolution, 1775-1783 -- Sources', 'United States. Declaration of Independence']",English
171,Songs of Innocence and of Experience,https://www.gutenberg.org//ebooks/1934,"Blake, William",1757,1827,,,,"['Pastoral poetry', 'English poetry -- 18th century']",English
200,The Marriage of Heaven and Hell,https://www.gutenberg.org//ebooks/45315,"Blake, William",1757,1827,,,,"['Mysticism', 'Hell', 'Heaven']",English
180,On War,https://www.gutenberg.org//ebooks/1946,"Clausewitz, Carl von",1780,1831,"Graham, J. J. (James John)",,,"['Military art and science', 'War']",English
701,Faust: Eine Tragödie [erster Teil] (German),https://www.gutenberg.org//ebooks/21000,"Goethe, Johann Wolfgang von",1749,1832,,,,"['German poetry', 'Legends -- Germany -- Drama', 'Faust, -approximately 1540 -- Drama', 'Magicians -- Drama']",German
735,Faust: Der Tragödie erster Teil (German),https://www.gutenberg.org//ebooks/2229,"Goethe, Johann Wolfgang von",1749,1832,,,,"['German poetry', 'Legends -- Germany -- Drama', 'Faust, -approximately 1540 -- Drama', 'Magicians -- Drama']",German
354,The Lady of the Lake,https://www.gutenberg.org//ebooks/3011,"Scott, Walter",1771,1832,,,,"['Arthurian romances', 'Lady of the Lake (Legendary character) -- Romances']",English
404,Ivanhoe: A Romance,https://www.gutenberg.org//ebooks/82,"Scott, Walter",1771,1832,,,,"['Historical fiction', 'Knights and knighthood -- Fiction', 'Love stories', 'Triangles (Interpersonal relations) -- Fiction', 'Great Britain -- History -- Richard I, 1189-1199 -- Fiction', 'Jews -- England -- Fiction', 'Ivanhoe, Wilfred of, Sir (Fictitious character) -- Fiction', 'Anglo-Saxons -- Fiction', 'Normans -- Great Britain -- Fiction']",English
785,Marmion: A Tale Of Flodden Field,https://www.gutenberg.org//ebooks/4010,"Scott, Walter",1771,1832,,,,"['Flodden, Battle of, England, 1513 -- Poetry']",English
765,"The History of Mary Prince, a West Indian Slave",https://www.gutenberg.org//ebooks/17851,"Prince, Mary",1788,1833,,,,"['Slavery -- West Indies', 'Prince, Mary', 'Fugitive slaves -- West Indies -- Biography']",English
734,"Souvenirs d'un sexagénaire, Tome I (French)",https://www.gutenberg.org//ebooks/22633,"Arnault, A.-V. (Antoine-Vincent)",1766,1834,,,,"['Italy -- Description and travel', 'Arnault, A.-V. (Antoine-Vincent), 1766-1834', 'Napoleon I, Emperor of the French, 1769-1821 -- Contemporaries', 'Authors -- Correspondence, reminiscences, etc.', 'Theater -- France -- Paris', 'France -- History -- Revolution, 1789-1799 -- Personal narratives', 'Malta -- History']",French
449,"Lyrical Ballads, With a Few Other Poems (1798)",https://www.gutenberg.org//ebooks/9622,"Coleridge, Samuel Taylor",1772,1834,,,,['English poetry -- 18th century'],English
530,Biographia Literaria,https://www.gutenberg.org//ebooks/6081,"Coleridge, Samuel Taylor",1772,1834,,,,"['Poetry', 'Aesthetics', 'Criticism', 'Wordsworth, William, 1770-1850. Lyrical ballads']",English
757,"A military dictionary :  or, Explanation of the several systems of discipline of different kinds of troops, infantry, artillery, and cavalry: the principles of fortification, and all the modern improvements in the science of tactics: comprising the pocket gunner, or little bombardier, the military regulations of the United States: the weights, measures,  and monies of all nations: the technical terms and phrases of the art of war in the  French language: particularly adapted to the use of the military institutions of the United States",https://www.gutenberg.org//ebooks/74739,"Duane, William",1760,1835,,,,"['Military art and science -- Dictionaries', 'English language -- Terms and phrases']",English
257,The Federalist Papers,https://www.gutenberg.org//ebooks/1404,"Madison, James",1751,1836,,,,"['Constitutional history -- United States -- Sources', 'Constitutional law -- United States']",English
528,The Federalist Papers,https://www.gutenberg.org//ebooks/22788,"Madison, James",1751,1836,,,,"['Constitutional history -- United States -- Sources', 'Constitutional law -- United States']",English
560,"Eugene Oneguine [Onegin]",https://www.gutenberg.org//ebooks/23997,"Pushkin, Aleksandr Sergeevich",1799,1837,"Spalding, Henry",,,"['Russia -- Social life and customs -- Fiction', 'Novels in verse']",English
643,"The Queen of Spades, and other stories",https://www.gutenberg.org//ebooks/55024,"Pushkin, Aleksandr Sergeevich",1799,1837,"Edwards, H. Sutherland, Mrs.",,,"['Russia -- Social life and customs -- Fiction', 'Short stories, Russian -- Translations into English', 'Russian fiction -- Translations into English', 'Pushkin, Aleksandr Sergeevich, 1799-1837 -- Translations into English']",English
923,"Evelina, Or, the History of a Young Lady's Entrance into the World",https://www.gutenberg.org//ebooks/6053,"Burney, Fanny",1752,1840,,,,"['Satire', 'Humorous stories', 'London (England) -- Fiction', 'Young women -- Fiction', 'Love stories', 'Bildungsromans', 'Epistolary fiction', 'Socialites -- Fiction', 'Debutantes -- Fiction']",English
631,Le rouge et le noir: chronique du XIXe siècle (French),https://www.gutenberg.org//ebooks/798,Stendhal,1783,1842,,,,"['Bildungsromans', 'France -- Fiction', 'Young men -- France -- Fiction', 'Ambition -- Fiction', 'Church and state -- Fiction']",French
